datetime,capital,position_value,equity
2020-03-03,1048062.8906430558,0.0,1048062.8906430558
2020-03-04,1048062.8906430558,0.0,1048062.8906430558
2020-03-05,1048062.8906430558,0.0,1048062.8906430558
2020-03-06,1048062.8906430558,0.0,1048062.8906430558
2020-03-09,1048062.8906430558,0.0,1048062.8906430558
2020-03-10,1048062.8906430558,0.0,1048062.8906430558
2020-03-11,1048062.8906430558,0.0,1048062.8906430558
2020-03-12,1048062.8906430558,0.0,1048062.8906430558
2020-03-13,1048062.8906430558,0.0,1048062.8906430558
2020-03-16,1048062.8906430558,0.0,1048062.8906430558
2020-03-17,1048062.8906430558,0.0,1048062.8906430558
2020-03-18,1048062.8906430558,0.0,1048062.8906430558
2020-03-19,1048062.8906430558,0.0,1048062.8906430558
2020-03-20,1048062.8906430558,0.0,1048062.8906430558
2020-03-23,1048062.8906430558,0.0,1048062.8906430558
2020-03-24,1048062.8906430558,0.0,1048062.8906430558
2020-03-25,1048062.8906430558,0.0,1048062.8906430558
2020-03-26,1048062.8906430558,0.0,1048062.8906430558
2020-03-27,1048062.8906430558,0.0,1048062.8906430558
2020-03-30,1048062.8906430558,0.0,1048062.8906430558
2020-03-31,1048062.8906430558,0.0,1048062.8906430558
2020-04-01,1048062.8906430558,0.0,1048062.8906430558
2020-04-06,1048062.8906430558,0.0,1048062.8906430558
2020-04-07,1048062.8906430558,0.0,1048062.8906430558
2020-04-08,1048062.8906430558,0.0,1048062.8906430558
2020-04-09,1048062.8906430558,0.0,1048062.8906430558
2020-04-10,1048062.8906430558,0.0,1048062.8906430558
2020-04-13,1048062.8906430558,0.0,1048062.8906430558
2020-04-14,1048062.8906430558,0.0,1048062.8906430558
2020-04-15,1048062.8906430558,0.0,1048062.8906430558
2020-04-16,1048062.8906430558,0.0,1048062.8906430558
2020-04-17,1048062.8906430558,0.0,1048062.8906430558
2020-04-20,1048062.8906430558,0.0,1048062.8906430558
2020-04-21,1048062.8906430558,0.0,1048062.8906430558
2020-04-22,1048062.8906430558,0.0,1048062.8906430558
2020-04-23,1048062.8906430558,0.0,1048062.8906430558
2020-04-24,1048062.8906430558,0.0,1048062.8906430558
2020-04-27,1048062.8906430558,0.0,1048062.8906430558
2020-04-28,1048062.8906430558,0.0,1048062.8906430558
2020-04-29,1048062.8906430558,0.0,1048062.8906430558
2020-04-30,1048062.8906430558,0.0,1048062.8906430558
2020-05-04,1048062.8906430558,0.0,1048062.8906430558
2020-05-05,1048062.8906430558,0.0,1048062.8906430558
2020-05-06,1048062.8906430558,0.0,1048062.8906430558
2020-05-07,1048062.8906430558,0.0,1048062.8906430558
2020-05-08,1048062.8906430558,0.0,1048062.8906430558
2020-05-11,1048062.8906430558,0.0,1048062.8906430558
