datetime,capital,position_value,equity
2025-08-26,985616.9634942841,0.0,985616.9634942841
2025-08-27,985616.9634942841,0.0,985616.9634942841
2025-08-28,985616.9634942841,0.0,985616.9634942841
2025-08-29,985616.9634942841,0.0,985616.9634942841
2025-09-01,985616.9634942841,0.0,985616.9634942841
2025-09-02,985616.9634942841,0.0,985616.9634942841
2025-09-03,985616.9634942841,0.0,985616.9634942841
2025-09-04,985616.9634942841,0.0,985616.9634942841
2025-09-05,985616.9634942841,0.0,985616.9634942841
2025-09-08,985616.9634942841,0.0,985616.9634942841
2025-09-09,985616.9634942841,0.0,985616.9634942841
2025-09-10,985616.9634942841,0.0,985616.9634942841
2025-09-11,985616.9634942841,0.0,985616.9634942841
2025-09-12,985616.9634942841,0.0,985616.9634942841
2025-09-15,985616.9634942841,0.0,985616.9634942841
2025-09-16,985616.9634942841,0.0,985616.9634942841
2025-09-17,985616.9634942841,0.0,985616.9634942841
2025-09-18,985616.9634942841,0.0,985616.9634942841
2025-09-19,985616.9634942841,0.0,985616.9634942841
2025-09-22,985616.9634942841,0.0,985616.9634942841
2025-09-23,985616.9634942841,0.0,985616.9634942841
2025-09-24,985616.9634942841,0.0,985616.9634942841
2025-09-25,985616.9634942841,0.0,985616.9634942841
2025-09-26,985616.9634942841,0.0,985616.9634942841
2025-09-30,985616.9634942841,0.0,985616.9634942841
2025-10-01,985616.9634942841,0.0,985616.9634942841
2025-10-02,985616.9634942841,0.0,985616.9634942841
2025-10-03,985616.9634942841,0.0,985616.9634942841
2025-10-07,985616.9634942841,0.0,985616.9634942841
2025-10-08,985616.9634942841,0.0,985616.9634942841
2025-10-09,985616.9634942841,0.0,985616.9634942841
2025-10-13,985616.9634942841,0.0,985616.9634942841
2025-10-14,985616.9634942841,0.0,985616.9634942841
2025-10-15,985616.9634942841,0.0,985616.9634942841
2025-10-16,985616.9634942841,0.0,985616.9634942841
2025-10-17,985616.9634942841,0.0,985616.9634942841
2025-10-20,985616.9634942841,0.0,985616.9634942841
2025-10-21,985616.9634942841,0.0,985616.9634942841
