datetime,ticker,action,shares,price,commission,tax,cash,event
2023-07-28,00919.TW,BUY,18000.0,15.499156914710998,397.55337486233714,0.0,606000.5183255146,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-08-02,00878.TW,SELL_ALL,8000.0,16.54097693061829,188.5671370090485,396.98344633483896,737742.7831871171,觸發止損離場
2023-08-02,00919.TW,SELL_ALL,18000.0,14.955057449817659,383.59722358782295,807.5731022901535,1005742.646957957,觸發止損離場
2023-09-05,00919.TW,BUY,15000.0,15.572645636558532,332.8653004814386,0.0,771820.0971090975,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-09-15,00919.TW,SELL_HALF,7000.0,16.071001007080078,160.30823504562377,337.4910211486816,883819.3049024638,階段 1 止盈 50% 成功，止損移至保本位
2023-09-21,00919.TW,SELL_ALL,8000.0,15.483864721775056,176.51605782823566,371.61275332260135,1007142.0938655135,觸發止損離場
2023-12-27,0050.TW,BUY,7000.0,31.88412486076355,318.0441454861164,0.0,783635.1756946825,投資組合多重確認進場做多 (配置法: inverse_vol)
2023-12-27,00878.TW,BUY,13000.0,17.599266503334043,326.02641197426317,0.0,554518.6847393657,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-01-03,0050.TW,SELL_ALL,7000.0,31.101417296409608,310.23663753168586,653.1297632246018,771265.2394134767,觸發止損離場
2024-01-03,00878.TW,SELL_ALL,13000.0,17.169606855392455,318.06696699614525,669.6146673603058,993482.4468992222,觸發止損離場
2024-02-22,00919.TW,BUY,17000.0,18.23646581840515,441.7783844508648,0.0,683020.7496018838,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-02-29,00919.TW,SELL_HALF,8000.0,18.53446935558319,211.29295065364838,444.8272645339966,830640.3842313617,階段 1 止盈 50% 成功，止損移至保本位
2024-03-06,0050.TW,BUY,5000.0,35.776237180709835,254.90568991255756,0.0,651504.2926379,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-03-06,00631L.TW,BUY,15000.0,8.19045353937149,175.07094440406559,0.0,528472.4186029236,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-03-07,0050.TW,SELL_HALF,2000.0,36.56885318565369,104.22123157911301,219.41311911392214,601286.4906235379,階段 1 止盈 50% 成功，止損移至保本位
2024-03-08,00631L.TW,SELL_HALF,7000.0,8.454860687732697,84.33723536013366,177.55207444238664,660208.6261278642,階段 1 止盈 50% 成功，止損移至保本位
2024-03-25,00919.TW,SELL_ALL,9000.0,20.025720122337344,256.82986056897647,540.6944433031083,839642.5829250283,觸發止損離場
2024-04-16,0050.TW,SELL_ALL,3000.0,37.37322603607178,159.77054130420686,336.359034324646,951266.1314576147,觸發止損離場
2024-04-16,00631L.TW,SELL_ALL,8000.0,8.518468508720398,97.11054099941254,204.44324420928956,1019112.3257421692,觸發止損離場
2024-06-19,0050.TW,BUY,4000.0,45.17395432090759,257.4915396291733,0.0,838159.0169189096,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-06-19,00878.TW,BUY,16000.0,20.0577285490036,457.31621091728204,0.0,516778.0439239348,投資組合多重確認進場做多 (配置法: inverse_vol)
2024-07-04,0050.TW,SELL_HALF,2000.0,46.22130451393128,131.73071786470416,277.3278270835877,608811.5944068491,階段 1 止盈 50% 成功，止損移至保本位
2024-07-05,00878.TW,SELL_HALF,8000.0,20.34880259513855,231.97634958457948,488.3712622833252,770881.6675560896,階段 1 止盈 50% 成功，止損移至保本位
2024-07-18,0050.TW,SELL_ALL,2000.0,45.99894641876221,131.0969972934723,275.99367851257324,862472.469717808,觸發止損離場
2024-07-18,00878.TW,SELL_ALL,8000.0,20.155402639389038,229.77159008903504,483.7296633453369,1023002.1895794859,觸發止損離場
2025-05-16,00919.TW,BUY,11000.0,20.32447104549408,318.5860836381197,0.0,799114.4219954129,投資組合多重確認進場做多 (配置法: inverse_vol)
2025-05-28,00919.TW,SELL_ALL,11000.0,19.716405633926392,309.0546583117962,650.6413859195709,1015035.1879243718,觸發止損離場
2025-09-09,00878.TW,BUY,17000.0,19.507259665489197,472.56336539647583,0.0,682939.210245659,投資組合多重確認進場做多 (配置法: inverse_vol)
2025-09-12,00878.TW,SELL_HALF,8000.0,19.751111554145815,225.16267171726233,474.0266772994996,840248.9133298087,階段 1 止盈 50% 成功，止損移至保本位
2025-10-03,0050.TW,BUY,2000.0,59.24384051513672,168.84494546813966,0.0,721592.3873540672,投資組合多重確認進場做多 (配置法: inverse_vol)
2025-10-07,0050.TW,SELL_HALF,1000.0,60.81084981155396,86.65546098146439,182.43254943466187,782134.149155205,階段 1 止盈 50% 成功，止損移至保本位
2025-11-07,00878.TW,SELL_ALL,9000.0,20.061487904548645,257.28858237583637,541.6601734228134,961888.5915403442,觸發止損離場
2025-11-14,0050.TW,SELL_ALL,1000.0,60.81084981155396,86.65546098146439,182.43254943466187,1022430.353341482,觸發止損離場
2025-12-15,00919.TW,BUY,17000.0,20.954199357032774,507.6154794241189,0.0,665701.3487925008,投資組合多重確認進場做多 (配置法: inverse_vol)
2025-12-17,00919.TW,SELL_HALF,8000.0,21.36835787010193,243.59927971916204,512.8405888824464,835891.7718847146,階段 1 止盈 50% 成功，止損移至保本位
2026-01-05,0050.TW,BUY,2000.0,68.56697356796265,195.41587466869356,0.0,698562.4088741206,投資組合多重確認進場做多 (配置法: inverse_vol)
2026-01-16,0050.TW,SELL_HALF,1000.0,70.96241821670533,101.12144595880511,212.887254650116,769210.818390217,階段 1 止盈 50% 成功，止損移至保本位
2026-01-19,00878.TW,BUY,15000.0,21.889710213661193,467.89255581700803,0.0,440397.2726294821,投資組合多重確認進場做多 (配置法: inverse_vol)
2026-01-19,00631L.TW,BUY,3000.0,19.732592001914977,84.35683080818653,0.0,381115.13979292894,投資組合多重確認進場做多 (配置法: inverse_vol)
2026-01-26,00878.TW,SELL_HALF,7000.0,22.31841742324829,222.6262137969017,468.6867658882141,536652.7487759818,階段 1 止盈 50% 成功，止損移至保本位
2026-01-27,00631L.TW,SELL_HALF,1000.0,20.494298658370973,29.204375588178635,61.48289597511292,557056.3601627895,階段 1 止盈 50% 成功，止損移至保本位
2026-01-30,00878.TW,SELL_ALL,8000.0,21.867831442832948,249.2932784482956,524.8279546279907,731224.8904723767,觸發止損離場
2026-01-30,00919.TW,SELL_ALL,9000.0,22.663995356559756,290.6657404478789,611.9278746271134,934298.2550663395,觸發止損離場
2026-02-02,0050.TW,SELL_ALL,1000.0,71.46425,101.83655625,214.39275,1005446.2757600895,剩餘部位觸發吊燈止損，波段結束
2026-02-02,00631L.TW,SELL_ALL,2000.0,19.408471375465393,55.31414342007637,116.45082825279236,1044091.4535393474,觸發止損離場
2026-05-25,00919.TW,BUY,11000.0,27.48373431301117,430.8075353564501,0.0,741339.568560868,投資組合多重確認進場做多 (配置法: inverse_vol)
2026-05-27,00919.TW,SELL_HALF,5000.0,28.835575381278993,205.45347459161283,432.5336307191849,884879.4583619522,階段 1 止盈 50% 成功，止損移至保本位
